year,avg_temp
1796,24.39
1797,25.17
1798,24.05
1799,24.68
1800,24.67
1801,23.94
1802,25.18
1803,24.95
1804,25.33
1805,24.80
1806,24.68
1807,24.00
1808,
1809,
1810,
1811,
1812,
1813,24.03
1814,23.49
1815,23.58
1816,23.13
1817,23.37
1818,23.80
1819,23.54
1820,23.67
1821,24.24
1822,24.25
1823,24.28
1824,24.84
1825,24.54
1826,24.64
1827,24.64
1828,24.40
1829,24.23
1830,24.36
1831,24.08
1832,24.29
1833,24.29
1834,24.36
1835,23.56
1836,23.96
1837,23.92
1838,23.99
1839,24.04
1840,24.12
1841,23.87
1842,24.18
1843,23.92
1844,23.88
1845,24.17
1846,24.69
1847,24.15
1848,24.15
1849,24.07
1850,24.23
1851,24.16
1852,24.20
1853,24.41
1854,24.53
1855,24.55
1856,24.04
1857,23.69
1858,24.35
1859,24.41
1860,24.19
1861,24.06
1862,21.86
1863,
1864,
1865,24.64
1866,24.65
1867,24.69
1868,24.61
1869,24.66
1870,24.28
1871,24.31
1872,24.32
1873,24.40
1874,24.42
1875,24.49
1876,24.89
1877,25.13
1878,25.07
1879,24.03
1880,24.57
1881,24.51
1882,24.29
1883,23.89
1884,23.94
1885,24.34
1886,24.42
1887,23.94
1888,24.72
1889,24.74
1890,24.51
1891,24.64
1892,24.70
1893,23.89
1894,24.55
1895,24.60
1896,25.29
1897,25.01
1898,24.89
1899,24.95
1900,25.29
1901,24.81
1902,25.35
1903,24.41
1904,24.69
1905,24.45
1906,24.51
1907,24.49
1908,24.30
1909,24.47
1910,24.22
1911,24.78
1912,25.01
1913,24.64
1914,24.69
1915,24.79
1916,24.59
1917,23.91
1918,24.76
1919,24.78
1920,24.87
1921,24.77
1922,24.57
1923,24.56
1924,24.87
1925,24.61
1926,24.86
1927,24.54
1928,24.71
1929,24.84
1930,24.61
1931,24.88
1932,24.59
1933,24.38
1934,24.26
1935,24.37
1936,24.67
1937,24.43
1938,24.34
1939,24.60
1940,24.59
1941,25.57
1942,25.00
1943,24.48
1944,24.75
1945,24.40
1946,24.76
1947,24.79
1948,25.06
1949,24.82
1950,24.54
1951,24.98
1952,24.98
1953,25.09
1954,24.68
1955,24.68
1956,24.50
1957,24.95
1958,25.28
1959,25.11
1960,25.02
1961,24.66
1962,24.66
1963,24.80
1964,24.63
1965,24.96
1966,25.26
1967,25.05
1968,24.68
1969,25.37
1970,24.74
1971,24.54
1972,25.31
1973,25.18
1974,24.87
1975,24.47
1976,25.05
1977,25.30
1978,24.81
1979,25.28
1980,25.33
1981,25.00
1982,25.21
1983,24.70
1984,24.99
1985,25.02
1986,25.26
1987,25.61
1988,25.29
1989,24.86
1990,24.78
1991,25.06
1992,25.14
1993,25.06
1994,24.84
1995,25.24
1996,25.34
1997,25.21
1998,25.55
1999,25.10
2000,25.11
2001,25.34
2002,25.58
2003,25.75
2004,25.32
2005,25.09
2006,25.31
2007,25.58
2008,25.23
2009,25.87
2010,25.75
2011,25.16
2012,25.30
2013,25.85
